STUDENT IDENTIFIER,STDNT_AGE,STDNT_GENDER,STDNT_BACKGROUND,IN_STATE_FLAG,INTERNATIONAL_STS,STDNT_MAJOR,STDNT_MINOR,STDNT_TEST_ENTRANCE1,STDNT_TEST_ENTRANCE2,STDNT_TEST_ENTRANCE_COMB,FIRST_TERM,CORE_COURSE_NAME_1_F,CORE_COURSE_GRADE_1_F,CORE_COURSE_NAME_2_F,CORE_COURSE_GRADE_2_F,CORE_COURSE_NAME_3_F,CORE_COURSE_GRADE_3_F,CORE_COURSE_NAME_4_F,CORE_COURSE_GRADE_4_F,CORE_COURSE_NAME_5_F,CORE_COURSE_GRADE_5_F,CORE_COURSE_NAME_6_F,CORE_COURSE_GRADE_6_F,SECOND_TERM,CORE_COURSE_NAME_1_S,CORE_COURSE_GRADE_1_S,CORE_COURSE_NAME_2_S,CORE_COURSE_GRADE_2_S,CORE_COURSE_NAME_3_S,CORE_COURSE_GRADE_3_S,CORE_COURSE_NAME_4_S,CORE_COURSE_GRADE_4_S,CORE_COURSE_NAME_5_S,CORE_COURSE_GRADE_5_S,CORE_COURSE_NAME_6_S,CORE_COURSE_GRADE_6_S,HOUSING_STS,RETURNED_2ND_YR,DISTANCE_FROM_HOME,HIGH_SCHL_GPA,HIGH_SCHL_NAME,FATHER_HI_EDU_CD,FATHER_HI_EDU_DESC,MOTHER_HI_EDU_CD,MOTHER_HI_EDU_DESC,DEGREE_GROUP_CD,DEGREE_GROUP_DESC,FIRST_TERM_ATTEMPT_HRS,FIRST_TERM_EARNED_HRS,SECOND_TERM_ATTEMPT_HRS,SECOND_TERM_EARNED_HRS,GROSS_FIN_NEED,COST_OF_ATTEND,EST_FAM_CONTRIBUTION,UNMET_NEED
7808615,18,F,BGD 1,Y,N,Undeclared,N,,1150,1150,200708,ANTH 1105,A,ARTH 1100,A,ENGL 1102,A,PSYC 1101,A,,,,,200802,CHEM 1151,A,CHEM 1151L,A,COMM 1110,A,ITDS 2749,A,,,,,On Campus,0,150,4,SCHOOL 50,,No Information,,No Information,B,Bachelors,16,16,14,14, -   , -   , -   , -   
7830063,19,F,BGD 1,N,N,Undeclared,N,26,,1190,200808,ANTH 1105,A,GERM 1002,A,ITDS 2735,A,MATH 1125,A,THEA 1100,A,POLS 1101,A,200902,ECON 2105,A,ENGL 1102,A,,,,,,,,,Off Campus,1,69,2.89,SCHOOL 389,3,College/Beyond,3,College/Beyond,B,Bachelors,18,18,18,18," 5,70,000 "," 13,55,760 "," 7,85,760 "," 4,59,300 "
7847538,18,M,BGD 1,Y,N,Mathematics,N,,1020,1030,201008,ANTH 1105,A,ENGL 1101,A,HIST 2111,A,MATH 1111,A,SOCI 1101,A,,,201102,ENGL 1102,A,ENVS 1105,A,MUSC 1100,A,,,,,,,On Campus,1,150,3.39,SCHOOL 82,2,High School,4,Other/Unknown,B,Bachelors,15,15,14,14, -   , -   , -   , -   
8006429,18,M,BGD 1,Y,N,Undeclared,N,,1210,1220,200708,ANTH 1107,A,COMM 1110,A,,,,,,,,,200802,ENGL 1102,A,HIST 2112,A,LEAD 1705,A,MUSC 1100,A,,,,,On Campus,1,150,2.93,SCHOOL 180,3,College/Beyond,3,College/Beyond,B,Bachelors,13,13,14,14, -   , -   , -   , -   
7962680,18,F,BGD 1,Y,N,Art,N,,1200,1190,200808,ANTH 1107,A,ARTH 1100,A,CPSC 1105,A,MATH 1111,A,,,,,200902,COMM 1110,A,ENGL 1101,A,HIST 2111,A,PSYC 1101,A,,,,,Off Campus,1,69,3.86,SCHOOL 2,3,College/Beyond,2,High School,B,Bachelors,12,12,12,12," 8,35,920 "," 13,55,760 "," 5,19,840 "," 2,78,340 "
7815697,18,M,BGD 1,Y,N,Political Science,N,,1050,1070,201008,ARAB 1001,A,HIST 2112,A,MATH 1101,A,MUSC 1100,A,PSYC 1101,A,,,201102,BIOL 1215K,A,ENGL 1101,A,ITDS 1156,A,POLS 1101,A,,,,,Off Campus,1,69,4,SCHOOL 5,2,High School,3,College/Beyond,B,Bachelors,15,15,16,16, -   , -   , -   , -   
7838856,18,F,BGD 1,Y,N,Biology,N,,580,590,200508,ARTH 1100,A,CHEM 1211,A,CHEM 1211L,A,ENGL 1101,A,HIST 2111,A,MATH 1113,A,200602,ENGL 1102,A,ITDS 2735,A,,,,,,,,,Off Campus,1,0,3.93,SCHOOL 2,,No Information,,No Information,B,Bachelors,16,16,15,15, -   , -   , -   , -   
7960448,18,F,BGD 1,Y,N,Biology,N,,750,740,200508,ARTH 1100,A,CHEM 1211,A,CHEM 1211L,A,ENGL 1101,A,,,,,200602,ENGL 1102,A,ITDS 2735,A,,,,,,,,,Off Campus,1,0,4,SCHOOL 130,,No Information,,No Information,B,Bachelors,16,16,15,15, -   , -   , -   , -   
7944779,18,F,BGD 3,Y,N,Accounting,N,,1060,1070,200508,ARTH 1100,A,COMM 1110,A,ITDS 2735,A,POLS 1101,A,,,,,200602,ECON 2105,A,ENGL 1102,A,MATH 1111,A,,,,,,,Off Campus,1,150,4,SCHOOL 54,3,College/Beyond,3,College/Beyond,B,Bachelors,16,16,15,15, -   , -   , -   , -   
7902044,18,F,BGD 1,Y,N,Undeclared,N,,,,200608,ARTH 1100,A,COMM 1110,A,ENGL 1101,A,MATH 1111,A,,,,,200702,ENGL 1102,A,HIST 2111,A,LEAD 1705,A,PSYC 1101,A,,,,,Off Campus,1,69,3.69,SCHOOL 189,3,College/Beyond,3,College/Beyond,B,Bachelors,16,16,14,14, -   , -   , -   , -   
7978363,18,M,BGD 1,N,N,Criminal Justice,N,27,1060,1220,200708,ARTH 1100,A,ENGL 1101,A,HIST 1111,A,MATH 1101,A,POLS 1101,A,,,200802,ENGL 1102,A,ENVS 1105,A,HIST 2111,A,,,,,,,Off Campus,1,4501,3.34,SCHOOL 342,3,College/Beyond,3,College/Beyond,B,Bachelors,15,15,18,15," 2,03,040 "," 12,64,860 "," 10,61,820 "," 2,03,040 "
